Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-05-04,Fri,3:45 AM,6.14,187,H
2018-05-04,Fri,10:52 AM,-0.13,-4,L
2018-05-04,Fri,5:25 PM,5.12,156,H
2018-05-04,Fri,10:50 PM,2.62,80,L
2018-05-05,Sat,4:24 AM,5.78,176,H
2018-05-05,Sat,11:36 AM,0.16,5,L
2018-05-05,Sat,6:17 PM,4.93,150,H
2018-05-05,Sat,11:41 PM,2.82,86,L
2018-05-06,Sun,5:10 AM,5.41,165,H
2018-05-06,Sun,12:26 PM,0.44,13,L
2018-05-06,Sun,7:15 PM,4.84,148,H
2018-05-07,Mon,12:45 AM,2.9,88,L
2018-05-07,Mon,6:07 AM,5.06,154,H
2018-05-07,Mon,1:22 PM,0.67,20,L
2018-05-07,Mon,8:13 PM,4.87,148,H
2018-05-08,Tue,2:00 AM,2.8,85,L
2018-05-08,Tue,7:16 AM,4.81,147,H
2018-05-08,Tue,2:21 PM,0.82,25,L
2018-05-08,Tue,9:07 PM,5.04,154,H
2018-05-09,Wed,3:11 AM,2.49,76,L
2018-05-09,Wed,8:30 AM,4.71,144,H
2018-05-09,Wed,3:18 PM,0.9,27,L
2018-05-09,Wed,9:54 PM,5.31,162,H
2018-05-10,Thu,4:11 AM,2,61,L
2018-05-10,Thu,9:39 AM,4.79,146,H
2018-05-10,Thu,4:10 PM,0.93,28,L
2018-05-10,Thu,10:34 PM,5.66,173,H
2018-05-11,Fri,5:01 AM,1.4,43,L
2018-05-11,Fri,10:41 AM,4.99,152,H
2018-05-11,Fri,4:56 PM,0.96,29,L
2018-05-11,Fri,11:10 PM,6.04,184,H
2018-05-12,Sat,5:45 AM,0.74,23,L
2018-05-12,Sat,11:36 AM,5.25,160,H
2018-05-12,Sat,5:40 PM,1.03,31,L
2018-05-12,Sat,11:46 PM,6.44,196,H
2018-05-13,Sun,6:27 AM,0.07,2,L
2018-05-13,Sun,12:28 PM,5.5,168,H
2018-05-13,Sun,6:21 PM,1.13,34,L
2018-05-14,Mon,12:21 AM,6.82,208,H
2018-05-14,Mon,7:09 AM,-0.53,-16,L
2018-05-14,Mon,1:17 PM,5.71,174,H
2018-05-14,Mon,7:02 PM,1.27,39,L
2018-05-15,Tue,12:57 AM,7.13,217,H
2018-05-15,Tue,7:51 AM,-1.03,-31,L
2018-05-15,Tue,2:06 PM,5.85,178,H
2018-05-15,Tue,7:45 PM,1.45,44,L
2018-05-16,Wed,1:36 AM,7.33,223,H
2018-05-16,Wed,8:35 AM,-1.37,-42,L
2018-05-16,Wed,2:56 PM,5.89,180,H
2018-05-16,Wed,8:28 PM,1.66,51,L
2018-05-17,Thu,2:17 AM,7.38,225,H
2018-05-17,Thu,9:20 AM,-1.51,-46,L
